,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID,Summary
0,1.0,0.0,"Good News, Bad News","July 5, 1989","Larry David, Jerry Seinfeld",Art Wolff,S01E00,Jerry and George discuss a woman Jerry met in Michigan who's coming to visit New York. Jerry struggles with mixed signals about whether it's a romantic encounter. Kramer (then called Kessler) makes his first appearance.
1,1.0,1.0,The Stakeout,"May 31, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E01,"After meeting a woman at a party but failing to get her number Jerry stakes out her office building with George. Introduces the concept of ""The Rules"" of dating."
2,1.0,2.0,The Robbery,"June 7, 1990",Matt Goldman,Tom Cherones,S01E02,After Jerry's apartment gets robbed Elaine helps him look for a new place. When he considers taking the apartment above Kramer's it causes tension between the friends.
3,1.0,3.0,Male Unbonding,"June 14, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E03,"Jerry tries to ""break up"" with a childhood friend he no longer wants to spend time with. Elaine helps him devise strategies to end the friendship."
4,1.0,4.0,The Stock Tip,"June 21, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E04,George convinces Jerry to invest in a stock based on an inside tip. Jerry's relationship with a new girlfriend is tested during a weekend trip that coincides with bad weather.
5,2.0,1.0,The Ex-Girlfriend,"January 16, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E01,George wants to break up with his girlfriend Marlene so he asks Jerry to do it for him. Jerry ends up dating her instead.
6,2.0,2.0,The Pony Remark,"January 30, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E02,At a dinner party Jerry makes an offensive remark about ponies to a relative who later dies. He debates whether to attend the funeral.
7,2.0,3.0,The Jacket,"February 6, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E03,Jerry buys an expensive suede jacket with a pink striped lining. He wears it to meet Elaine's father but gets it ruined in the snow.
8,2.0,4.0,The Phone Message,"February 13, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E04,George leaves several angry messages on a woman's answering machine and attempts to switch her tape with help from Jerry.
9,2.0,5.0,The Apartment,"April 4, 1991",Peter Mehlman,Tom Cherones,S02E05,Jerry offers to help Elaine get the apartment above his but regrets it when he realizes how it would affect his life.
10,2.0,6.0,The Statue,"April 11, 1991",Larry David,Tom Cherones,S02E06,Jerry receives a small statue from his father's friend. When he has a cleaning person over the statue goes missing.
11,2.0,7.0,The Revenge,"April 18, 1991",Larry David,Tom Cherones,S02E07,George quits his job and then tries to get it back. Jerry suspects his laundromat owner stole money from his laundry.
12,2.0,8.0,The Heart Attack,"April 25, 1991",Larry Charles,Tom Cherones,S02E08,George thinks he's having a heart attack and ends up seeing a holistic healer recommended by Kramer.
13,2.0,9.0,The Deal,"May 2, 1991",Larry Charles,Tom Cherones,S02E09,Jerry and Elaine try to establish rules to sleep together while remaining friends.
